Query,Ambiguity Type,Ground Truth,Prediction,Status,Time,Similarity,Length
Is Nayapara part of Dumka?,Semantic Result Ambiguity,Inside Dumka district but outside the city boundary," No, Nayapara is not a part of Dumka. It is located in Tufanganj subdivision of Cooch Behar district in West Bengal, India. While Dumka is a city and a municipal corporation in Dumka district in the Indian state of Jharkhand.",hallucinated,97.28117108,0.6301,225
What was the area of Dumka earlier?,Temporal Spatial Ambiguity,Pre-2010 district boundary," Dumka is a city and a municipality in the Indian state of Jharkhand. Prior to India's independence, the region was part of Bihar. However, the precise area or size of Dumka before these historical periods isn't readily available information. For more specific details about its area, you would need to refer to records from post-independence India when proper surveys and census were conducted.",hallucinated,109.2800124,0.2836,395
Was Marang Buru inside Dumka earlier?,Temporal Spatial Ambiguity,Historical administrative boundary," It seems there might be some confusion in your question. Marang Buru is a village in Indonesia, and Dumka is a city in the Indian state of Jharkhand. Historically, there has been no connection between these two locations, so it's unlikely that Marang Buru was ever inside or near Dumka. If you meant to ask something else, please clarify, and I'll do my best to help!",hallucinated,109.1427784,0.1063,368
Was Marang Buru inside Dumka earlier?,Temporal Spatial Ambiguity,Depends on historical administrative boundary," Marang Buru is a district in the Indonesian province of North Sumatra, and Dumka is a city in the Indian state of Jharkhand. Neither Marang Buru nor Dumka are geographically or historically connected, so it is unlikely that Marang Buru was ever inside Dumka. However, if you meant to ask about historical figures named Marang Buru in Dumka, I would need more specific information to provide an accurate response.",hallucinated,108.9534724,0.1746,413
How far was Deoghar from Dumka before the highway was built?,Temporal Spatial Ambiguity,Road distance changed over time," I don't have real-time data, but I can provide you with an approximate distance between Deoghar and Dumka based on current road conditions. The straight-line distance (as the crow flies) is about 210 kilometers (130 miles), but by road, it's approximately 264 kilometers (164 miles). However, before the construction of a highway between these two locations, the distance may have been longer due to less efficient routes. For accurate and up-to-date information, I recommend checking with reliable ...",hallucinated,118.9322624,0.4042,503
Where was the old railway station of Deoghar?,Temporal Spatial Ambiguity,Historical location not the current one," The old railway station in Deoghar, a city in Jharkhand, India, is located on the Grand Chord line and falls under the Danapur railway division. Its exact location is on the National Highway 31 (NH31) near Baidyanath Dham road. However, it's important to note that Deoghar Junction, a newer station, is now the primary railway station serving the area. The old station may not be in regular use anymore. Always confirm with current information as railway services and stations can sometimes change.",hallucinated,120.180727,0.3401,499
Is Mansarovar pond still inside the temple complex?,Temporal Spatial Ambiguity,Current vs historical boundary," The Mansarovar Lake is not located within a temple complex. It is a high-altitude freshwater lake near Mount Kailash in western Tibet, autonomous region of China. It's considered sacred by Hindus, Buddhists, and Jains. The Rakshas Tal (Tso Mapham) is the adjacent saltwater lake located at a slightly higher elevation, but separate from Mansarovar Lake. Both lakes are surrounded by barren mountains and plains, with no significant structures or temple complexes nearby.",hallucinated,123.2657716,-0.0132,471
Has the boundary of Baidyanathdham changed?,Temporal Spatial Ambiguity,Earlier vs present temple extent," I don't have real-time data or the ability to physically visit locations, but as of my last update, the boundary of Baidyanathdham, a significant Hindu temple complex in Deogarh, Jharkhand, India, has not significantly changed. However, for the most accurate and up-to-date information, it is recommended to consult official sources or local authorities.",hallucinated,120.0148716,0.3384,355
Which villages were part of Dumka before the district division?,Temporal Spatial Ambiguity,Historical district boundaries," Before the district division, Dumka was a subdivision in the Santhal Parganas district of Bihar. The villages that were part of this subdivision included:

1. Dumka (the headquarters)
2. Barhait
3. Deoghar
4. Kishanpur
5. Godda
6. Rajmahal
7. Sahibganj
8. Jamtara
9. Pakur
10. Jhurmura
11. Ormanjhi
12. Chhatarpur
13. Barkagaon
14. Gumani
15. Dihri
16. Bishunpur
17. Kawahara
18. Kodalia
19. Tundi
20. Giridih (which is now a separate district)

These villages were later reorganized into different ...",hallucinated,188.9467485,0.4279,503
Was Parasnath Hill earlier part of Dumka district?,Temporal Spatial Ambiguity,Administrative change over time," Yes, Parasnath Hill is located in the Dumka district of Jharkhand, India. However, it was previously part of the Santhal Parganas division of Bihar before the formation of Jharkhand state in 2000. The region has a rich cultural and historical significance for the indigenous Santal community.",hallucinated,117.2460206,-0.0315,293
Where was the original base of Trikut Buru trek?,Temporal Spatial Ambiguity,Old trek route start location," The Trikut Buru Trek is located in the remote Arunachal Pradesh region of India, specifically within the Dibang Valley district. The starting point for this trek is a small village called Roing, which serves as the district headquarters of Dibang Valley. From Roing, trekkers head towards the Trikut Buru base camp located near the Dibang River, before venturing further into the high-altitude mountains and passes of the Himalayas. The trek is known for its breathtaking landscapes, rich biodiversi...",hallucinated,131.0562999,0.3725,503
Which roads near Baidyanathdham existed before 2000?,Temporal Spatial Ambiguity,Historical road network," To provide an accurate answer, I would need specific information about the location you're referring to as ""Baidyanathdham."" However, Baidyanathdham is a famous Hindu temple located in Deogarh (also known as Deokhanda or Vaidyanath), a city in the Aurangabad division of Jharkhand, India.

Historically, Deogarh was an important trade center and the road network around it would have reflected that. Some of the significant roads near Deogarh before 2000 might include:

1. National Highway 39 (NH39...",hallucinated,174.6730618,0.3744,503
Where is Dumka?,Spatial Granularity Ambiguity,Dumka district not city," Dumka is a city and a municipal corporation in the Santhal Pargana district of Jharkhand state, India. It serves as the administrative headquarters for the Santhal Parganas division and the Santhal Pargana district. The city is located at 24.93°N 87.10°E and has an average elevation of 145 meters (476 feet).",correct,108.2008302,0.7602,312
How big is Deoghar?,Spatial Granularity Ambiguity,District area not city area," Deoghar, also known as Deokul, is a city in the Indian state of Jharkhand. It does not have official designated metropolitan status, but it serves as the administrative headquarters of the Deoghar district. According to the 2011 census, the urban agglomeration of Deoghar has a population of approximately 245,730. However, the exact size of the city in terms of square kilometers is not explicitly provided in the census data. You can find more specific details about the area by referring to the D...",hallucinated,121.478091,0.3923,503
Distance from Deoghar to Dumka?,Spatial Granularity Ambiguity,City to city distance not district distance," The distance between Deoghar and Dumka, both located in India, can vary depending on the specific routes taken. However, if you're referring to the shortest distance via road, it is approximately 190 kilometers (around 118 miles). This distance may increase slightly if you consider travel by other modes of transport like air or rail. For the most accurate and up-to-date information, I recommend using a reliable map service or transportation website.",hallucinated,108.9583452,0.3667,454
What is the population of Dumka?,Spatial Granularity Ambiguity,District population vs city population ambiguity," As of my last update, the population of Dumka, a city in Jharkhand, India, was approximately 150,698 according to the 2011 census. However, for the most accurate and up-to-date information, I would recommend checking the latest data from reliable sources such as the Indian Census Bureau or other official government statistics.",hallucinated,108.9651814,0.3832,329
Where is Trikut?,Spatial Granularity Ambiguity,Peak vs hill complex vs region ambiguity," Trikut is a mountain peak in India, located in the state of Uttar Pradesh. It's one of the three peaks (Trikut or Trishul) in the Kumaon region of the Himalayas and lies near the famous pilgrimage site of Kedarnath. Trikut is part of the larger Mandakini-Alaknanda valley, which also includes the popular tourist destinations of Gaurikund and Uttarkashi.",hallucinated,112.8190532,0.1887,355
Is Marang Buru in Dumka?,Spatial Granularity Ambiguity,Inside district not city," No, Marang Buru is not located in Dumka. Marang Buru is a village in the Jharkhand state of India, specifically in the Sahibganj district. Dumka is a city and a municipality in the Dumka district of the Indian state of Jharkhand. There seems to be some confusion between these two locations as they are both in Jharkhand but are not the same place.",hallucinated,107.9407432,0.2538,349
Where is Nayapara?,Spatial Granularity Ambiguity,Village vs locality ambiguity," Nayapara is a refugee camp located in Teknaf Upazila, Cox's Bazar District, Bangladesh. It is one of the many camps housing Rohingya refugees who have fled from Myanmar.",hallucinated,97.27675414,0.1733,170
Which is bigger Dumka or Deoghar?,Spatial Granularity Ambiguity,District vs city confusion," Deoghar is larger than Dumka in terms of population and area. As of the latest data available (2011 census), Deoghar has a population of approximately 358,976 people and an area of about 17.43 square kilometers, while Dumka has a population of around 152,127 people and an area of approximately 9.61 square kilometers.",hallucinated,115.4537344,0.2049,319
How far is Baidyanathdham from Dumka?,Spatial Granularity Ambiguity,Temple to city or temple to district ambiguity," Baidyanath Dham is located in Deoghar district, Jharkhand, while Dumka is a city in the adjacent Santhal Pargana district of Jharkhand. The distance between Baidyanath Dham and Dumka is approximately 140 kilometers (87 miles) by road. The journey typically takes around 3-4 hours depending on the traffic conditions. However, please note that travel times can vary, so it's always a good idea to check current traffic conditions before setting off on your journey.",hallucinated,128.6046858,0.1441,465
Is Parasnath near Dumka?,Spatial Granularity Ambiguity,Distance depends on city vs district reference," Yes, Parasnath is located in the Dumka district of Jharkhand, India. However, it's important to note that Parasnath is most famous for its hill known as Parasnath Hills, which is considered sacred by the Digambar Jain community due to the presence of numerous temples and 800-year-old idols of Tirthankaras. The main town near Parasnath is Adityapur.",hallucinated,118.1167445,0.1484,351
Where is Baidyanathdham?,Spatial Part Ambiguity,Temple complex not the city," Baidyanath Dham, also known as Baba Baidyanath Temple, is located in Deoghar, Jharkhand, India. It's one of the twelve Jyotirlingas, which are considered sacred Hindu temples dedicated to Lord Shiva. The temple complex is situated near the river Ajay and is one of the oldest and most revered pilgrimage sites for Hindus in India.",hallucinated,114.8831868,0.4216,331
Where is the peak of Marang Buru?,Spatial Part Ambiguity,Highest elevation point of the hill," Marang Buru, also known as Mount Buru or Gunung Buru, is a volcano located in Indonesia. The peak of Marang Buru is approximately 1,476 meters (4,843 feet) above sea level. However, it's important to note that the exact elevation might vary slightly depending on different sources. If you are planning a trip to climb this mountain, I recommend double-checking the current conditions and obtaining accurate information from a reliable local source or guide.",hallucinated,113.9759781,0.366,458
Where is the entrance of Baidyanathdham?,Spatial Part Ambiguity,Main gate vs any gate," The main entrance of Baidyanath Dham, also known as Baba Baidyanath Temple or Naganath-Jyotirlinga, is located in Deoghar, Jharkhand, India. It's situated in a valley surrounded by nine hills, which are collectively referred to as the Sapta Parnashala range. The temple complex includes several other shrines, including the Parvati Kund and the Ganesh Gufa. However, for precise navigation, I would recommend using a map service like Google Maps, as the exact entrance coordinates may vary depending...",hallucinated,132.7926295,0.2008,503
Where is the base of Trikut Buru?,Spatial Part Ambiguity,Trek start vs hill boundary," Trikut Buru, also known as Trikuta Hill or Parvati Hill, is located in Pune, Maharashtra, India. It's a part of the Shivneri Fort complex, which was the birthplace of Chhatrapati Shivaji Maharaj. The base of Trikut Buru itself does not have any specific address or location outside the fort complex. If you are planning to visit, it would be best to use navigation systems like Google Maps for precise directions to Shivneri Fort, which is located near Junnar in Pune district.",hallucinated,140.1632693,0.1449,478
Where is the peak of Marang Buru?,Spatial Part Ambiguity,Highest elevation point vs sacred location," Marang Buru is a mountain located in Indonesia, specifically on the island of Sulawesi. The exact location of its peak, or Puncak Marang Buru, is approximately at coordinates 2°34'05.7""S 122°34'19.6""E. This coordinates system is known as degrees, minutes, and seconds (DMS), and it provides a more precise location than just latitude and longitude. However, for navigation purposes, the latitude and longitude can also be used:

- Latitude: 2.568250°S (Southern Hemisphere)
- Longitude: 122.571994°E...",hallucinated,285.7192411,0.3909,507
Where is Mansarovar?,Spatial Part Ambiguity,Centroid vs boundary vs ghat ambiguity," Mansarovar is a freshwater lake located in the Tibet Autonomous Region of China, close to the border with Nepal and India. It's part of the Himalayas at an elevation of approximately 15,070 feet (4,600 meters) above sea level. The lake is considered sacred by several religions, including Hinduism, Buddhism, Jainism, and Bön.",hallucinated,167.8795772,0.123,328
Where is the hospital in Dumka?,Spatial Part Ambiguity,Main building vs entire campus," The main hospital in Dumka, a city in the Indian state of Jharkhand, is likely the Sadar Hospital. However, for the most accurate and current information, I would recommend checking official government websites or contacting local authorities. Here is a link to the Jharkhand Health Department's website: https://health.jharkhand.gov.in/ You can find more details about healthcare facilities in Dumka on this page.",hallucinated,143.260129,0.077,415
Where is the road to Trikut Buru?,Spatial Part Ambiguity,Road segment vs road endpoint," Trikut Buru, also known as Triple Peaks of Buru, is located in the Buru Island archipelago, which belongs to Indonesia's Maluku province. The exact location can be a bit tricky due to its remote nature.

To reach Trikut Buru, you would typically need to fly to Ambon (Ambon Bay Airport - AMB), the capital city of Maluku, and then take a ferry or charter a boat to Buru Island. From there, you'll likely need local guidance or a tour operator to navigate to Trikut Buru as the island has limited inf...",hallucinated,179.5215297,0.0499,503
Which part of Dumka is Nayapara in?,Spatial Part Ambiguity,Administrative ward vs locality," Nayapara is a neighborhood located in Dumka City, which is the administrative headquarters of Dumka district in the Indian state of Jharkhand. It is not a separate town or city but rather a locality within Dumka.",hallucinated,123.0779014,0.1019,213
Which temple inside Baidyanathdham is the main shrine?,Spatial Part Ambiguity,Part of temple complex," The main shrine in Baidyanathdham, also known as Baba Baidyanath Temple or Naganath Mandir, is dedicated to Lord Shiva and is located within the complex. It's important to note that Baidyanathdham is one of the twelve Jyotirlinga shrines, which are considered among the most sacred of Shiva temples in India. The main temple houses a lingam called Vaidyanath (Lord of physicians) and is visited by countless devotees each year.",hallucinated,149.7386029,0.4597,428
Which hill in Trikut Buru is the highest?,Spatial Part Ambiguity,Highest peak among the three hills," The Trikut Mountains, located near Mount Everest in Nepal, consist of three main peaks: North Col, Central or Middle Tukuche, and South Col. Among these, the highest peak is the Central or Middle Tukuche, which stands at an elevation of approximately 8516 meters (27,940 feet). However, it's important to note that this information might vary slightly depending on different sources. Always consult accurate and up-to-date maps or guides for precise elevation data when planning a trip.",hallucinated,144.3504968,0.6197,487
Where is the Mansarovar ghat?,Spatial Part Ambiguity,Part of the pond boundary," The Mansarovar Ghat is located in Tibet, autonomous region of China. It's situated on the banks of Lake Mansarovar, which is considered sacred by Hindus, Buddhists, and Jains. The lake is one of the highest freshwater lakes in the world, located near Mount Kailash, which is also held in high reverence in these religions. However, due to political reasons, it's important to note that travel to this area requires specific permits and can be quite complex. Always check with your local embassy or a...",hallucinated,135.6702871,0.2961,503
Where is the western entrance of Baidyanathdham?,Spatial Part Ambiguity,Specific gate not entire complex," The Western entrance of Baidyanath Dham, also known as Baba Baidyanath Temple or Naga-Kunda, is located in Deogarh district, Jharkhand, India. Specifically, it's situated near the town of Sitamarhi, around 250 km northwest of Patna, which is the capital city of Bihar. The temple is one of the twelve Jyotirlinga shrines, considered to be among the most sacred Hindu sites in India.",hallucinated,148.4330313,0.189,383
Which building inside Dumka Sadar Hospital is the main ward?,Spatial Part Ambiguity,Part of hospital campus," I don't have real-time data, but based on typical hospital structures, the main ward would usually be the largest building or the one housing the most general patient rooms. However, for specific information about Dumka Sadar Hospital, it would be best to refer to official sources, such as the hospital's website or by contacting the hospital directly.",hallucinated,138.4191048,0.4013,354
Which peak of Trikut Buru is the highest?,Spatial Part Ambiguity,Highest elevation peak," Trikut Buru, a group of three peaks in the Shivling Glacier area of Garhwal Himalayas, consists of Middle Trikut (6473 m), South Trikut (6508 m), and North Trikut (6593 m). Among them, North Trikut is the highest peak. It's important to note that accurate altitude data may vary slightly based on different sources, but North Trikut typically stands as the tallest among the three.",hallucinated,145.3043392,0.5985,382
Averages,,,,,127.1037834,0.350141905,406.247619
